Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
腰,yāo,n.,waist,36,,,,New Word,5下
一旦,yīdàn,adv.,"once, when",22,,,,New Word,5下
一律,yīlǜ,adv.,"all, without exception",26,,,,New Word,5下
一致,yīzhì,adj.,"identical, unanimous",23,,,,New Word,5下
遗憾,yíhàn,adj./n.,regretful; deep regret,21,,,,New Word,5下
疑问,yíwèn,n.,"question, doubt",20,,,,New Word,5下
义务,yìwù,n.,"duty, obligation",24,,,,New Word,5下
因素,yīnsù,n.,factor,27,,,,New Word,5下
印刷,yìnshuā,v.,"to print (books, newspapers, etc.)",20,,,,New Word,5下
迎接,yíngjiē,v.,"to receive, to greet, to welcome",34,,,,New Word,5下
营业,yíngyè,v.,"to do business, to operate",29,,,,New Word,5下
应付,yìngfu,v.,"to handle, to cope with",36,,,,New Word,5下
硬,yìng,adv.,"rigidly, mechanically",21,,,,New Word,5下
拥挤,yōngjǐ,adj.,"crowded, congested",33,,,,New Word,5下
勇气,yǒngqì,n.,courage,24,,,,New Word,5下
用功,yònggōng,adj.,"hardworking, diligent",24,,,,New Word,5下
优势,yōushì,n.,"superiority, advantage",28,,,,New Word,5下
犹豫,yóuyù,adj.,hesitant,31,,,,New Word,5下
油炸,yóuzhá,v.,to deep-fry,19,,,,New Word,5下
游览,yóulǎn,v.,"to visit, to tour",25,,,,New Word,5下
有利,yǒulì,adj.,"beneficial, advantageous",30,,,,New Word,5下
娱乐,yúlè,n./v.,"entertainment; to amuse, to entertain",20,,,,New Word,5下
与其,yǔqí,conj.,"(would rather...) than, rather than",33,,,,New Word,5下
预防,yùfáng,v.,"to guard against, to prevent",19,,,,New Word,5下
元旦,Yuándàn,n.,New Year's Day,21,,,,New Word,5下
员工,yuángōng,n.,"staff, employee",30,,,,New Word,5下
原料,yuánliào,n.,raw material,19,,,,New Word,5下
原则,yuánzé,n.,"principle, tenet",27,,,,New Word,5下
圆,yuán,adj.,"round, circular",31,,,,New Word,5下
运气,yùnqi,n.,"luck, fortune",27,,,,New Word,5下
运输,yùnshū,v.,"to transport, to convey",30,,,,New Word,5下
在乎,zàihu,v.,"to care, to mind",36,,,,New Word,5下
在于,zàiyú,v.,"to lie in, to consist in",27,,,,New Word,5下
赞成,zànchéng,v.,"to agree with, to approve of",31,,,,New Word,5下
责备,zébèi,v.,"to blame, to reproach",27,,,,New Word,5下
窄,zhǎi,adj.,narrow,25,,,,New Word,5下
展开,zhǎnkāi,v.,"to launch, to set off, to carry out",33,,,,New Word,5下
涨,zhǎng,v.,"to rise, to go up",20,,,,New Word,5下
掌握,zhǎngwò,v.,"to take charge of, to control",32,,,,New Word,5下
照常,zhàocháng,adv.,as usual,33,,,,New Word,5下
珍惜,zhēnxī,v.,"to cherish, to treasure",27,,,,New Word,5下
真实,zhēnshí,adj.,"real, actual",32,,,,New Word,5下
征求,zhēngqiú,v.,"to seek, to ask for",23,,,,New Word,5下
睁,zhēng,v.,to open one's eyes,27,,,,New Word,5下
整齐,zhěngqí,adj.,"tidy, orderly",20,,,,New Word,5下
政府,zhèngfǔ,n.,government,33,,,,New Word,5下
支,zhī,v.,"to prop up, to support",20,,,,New Word,5下
直,zhí,adv.,"continuously, straight",36,,,,New Word,5下
指导,zhǐdǎo,v.,"to guide, to instruct",24,,,,New Word,5下
指挥,zhǐhuī,v.,"to command, to direct",35,,,,New Word,5下
至于,zhìyú,prep.,"as for, as to",26,,,,New Word,5下
制作,zhìzuò,v.,"to make, to produce",28,,,,New Word,5下
秩序,zhìxù,n.,"order, orderly state",35,,,,New Word,5下
中旬,zhōngxún,n.,middle ten days of a month,33,,,,New Word,5下
种类,zhǒnglèi,n.,"kind, category",34,,,,New Word,5下
重量,zhòngliàng,n.,weight,25,,,,New Word,5下
逐步,zhúbù,adv.,"gradually, step by step",32,,,,New Word,5下
主观,zhǔguān,adj.,subjective,33,,,,New Word,5下
主题,zhǔtí,n.,"theme, subject",24,,,,New Word,5下
主席,zhǔxí,n.,chairperson,23,,,,New Word,5下
主张,zhǔzhāng,v./n.,"to hold, to advocate; view, stand",22,,,,New Word,5下
煮,zhǔ,v.,"to boil, to stew",19,,,,New Word,5下
抓,zhuā,v.,"to grab, to seize",34,,,,New Word,5下
抓紧,zhuājǐn,v.,to firmly grasp,21,,,,New Word,5下
转变,zhuǎnbiàn,v.,"to change, to transform",22,,,,New Word,5下
装饰,zhuāngshì,n.,decoration,36,,,,New Word,5下
状况,zhuàngkuàng,n.,"condition, situation, state",35,,,,New Word,5下
追求,zhuīqiú,v.,"to pursue, to go after",21,,,,New Word,5下
咨询,zīxún,v.,"to consult, to seek advice",33,,,,New Word,5下
资金,zījīn,n.,"capital, fund",29,,,,New Word,5下
资源,zīyuán,n.,resource,32,,,,New Word,5下
紫,zǐ,adj.,purple,19,,,,New Word,5下
自从,zìcóng,prep.,ever since,22,,,,New Word,5下
自动,zìdòng,adv.,"voluntarily, spontaneously",35,,,,New Word,5下
自豪,zìháo,adj.,proud,36,,,,New Word,5下
自觉,zìjué,adj.,"conscious, on one's own initiative",32,,,,New Word,5下
自私,zìsī,adj.,selfish,22,,,,New Word,5下
自愿,zìyuàn,v.,to volunteer (to do sth.),33,,,,New Word,5下
总算,zǒngsuàn,adv.,"at last, finally",26,,,,New Word,5下
总之,zǒngzhī,conj.,"in short, in brief",34,,,,New Word,5下
组织,zǔzhī,v.,to organize,23,,,,New Word,5下
最初,zuìchū,n.,"first, earliest",21,,,,New Word,5下
尊敬,zūnjìng,v.,"to respect, to esteem",32,,,,New Word,5下
遵守,zūnshǒu,v.,"to abide by, to observe",23,,,,New Word,5下
作文,zuòwén,n.,"essay, composition",22,,,,New Word,5下
