Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[5.13] 仿佛 New Word,仿佛,fǎngfú,adv./v.,"as if; to be like, to be similar to",5.13,,,,New Word,5上
[5.16] 非 New Word,非,fēi,v.,to be not,5.16,,,,New Word,5上
[5.07] 分别 New Word,分别,fēnbié,adv.,"respectively, separately",5.07,,,,New Word,5上
[5.05] 分布 New Word,分布,fēnbù,v.,"to be distributed (over an area), to be scattered",5.05,,,,New Word,5上
[5.16] 分析 New Word,分析,fēnxī,v.,to analyze,5.16,,,,New Word,5上
[5.06] 纷纷 New Word,纷纷,fēnfēn,adv./adj.,one after another; all at once,5.06,,,,New Word,5上
[5.06] 风俗 New Word,风俗,fēngsú,n.,"custom, convention",5.06,,,,New Word,5上
[5.03] 疯 New Word,疯,fēng,v.,"to be crazy, to go mad",5.03,,,,New Word,5上
[5.15] 讽刺 New Word,讽刺,fěngcì,v.,to satirize,5.15,,,,New Word,5上
[5.04] 扶 New Word,扶,fú,v.,to support with one's hand,5.04,,,,New Word,5上
[5.17] 服装 New Word,服装,fúzhuāng,n.,"clothing, costume",5.17,,,,New Word,5上
[5.18] 幅 New Word,幅,fú,m.,"used for paintings and scrolls, etc.",5.18,,,,New Word,5上
[5.10] 改进 New Word,改进,gǎijìn,v.,"to improve, to ameliorate",5.10,,,,New Word,5上
[5.06] 赶紧 New Word,赶紧,gǎnjǐn,adv.,"immediately, at once",5.06,,,,New Word,5上
[5.05] 感激 New Word,感激,gǎnjī,v.,to feel grateful,5.05,,,,New Word,5上
[5.02] 感受 New Word,感受,gǎnshòu,v./n.,to feel; feeling,5.02,,,,New Word,5上
[5.03] 干活儿 New Word,干活儿,gànhuór,v.,to work,5.03,,,,New Word,5上
[5.09] 高档 New Word,高档,gāodàng,adj.,"high-grade, top-notch",5.09,,,,New Word,5上
[5.12] 高级 New Word,高级,gāojí,adj.,"senior, high-ranking",5.12,,,,New Word,5上
[5.17] 告别 New Word,告别,gàobié,v.,to say goodbye,5.17,,,,New Word,5上
[5.08] 格外 New Word,格外,géwài,adv.,"especially, extraordinarily",5.08,,,,New Word,5上
[5.16] 个别 New Word,个别,gèbié,adv./adj.,one or two; exceptional,5.16,,,,New Word,5上
[5.12] 个人 New Word,个人,gèrén,n.,individual,5.12,,,,New Word,5上
[5.03] 各自 New Word,各自,gèzì,pron.,"each, respective",5.03,,,,New Word,5上
[5.07] 根 New Word,根,gēn,m./n.,"root, foundation; a measure word for long and thin objects",5.07,,,,New Word,5上
[5.13] 工程师 New Word,工程师,gōngchéngshī,n.,engineer,5.13,,,,New Word,5上
[5.13] 工具 New Word,工具,gōngjù,n.,"tool, instrument",5.13,,,,New Word,5上
[5.03] エ人 New Word,エ人,gōngrén,n.,worker,5.03,,,,New Word,5上
[5.15] 公元 New Word,公元,gōngyuán,n.,Christian era,5.15,,,,New Word,5上
[5.14] 功能 New Word,功能,gōngnéng,n.,function,5.14,,,,New Word,5上
[5.02] 姑姑 New Word,姑姑,gūgu,n.,"aunt, father's sister",5.02,,,,New Word,5上
[5.06] 姑娘 New Word,姑娘,gūniang,n.,girl,5.06,,,,New Word,5上
[5.04] 古代 New Word,古代,gǔdài,n.,ancient times,5.04,,,,New Word,5上
[5.18] 古典 New Word,古典,gǔdiǎn,adj.,classical,5.18,,,,New Word,5上
[5.06] 骨(头) New Word,骨(头),gǔ(tou),n.,bone,5.06,,,,New Word,5上
[5.08] 固定 New Word,固定,gùdìng,adj./v.,"fixed, settled; to fix",5.08,,,,New Word,5上
[5.14] 关闭 New Word,关闭,guānbì,v.,"to close, to shut",5.14,,,,New Word,5上
[5.04] 官 New Word,官,guān,n.,government official,5.04,,,,New Word,5上
[5.09] 光临 New Word,光临,guānglín,v.,"to visit, to frequent",5.09,,,,New Word,5上
[5.11] 光线 New Word,光线,guāngxiàn,n.,"light, ray",5.11,,,,New Word,5上
[5.05] 广大 New Word,广大,guǎngdà,adj.,"vast, extensive",5.05,,,,New Word,5上
[5.14] 广泛 New Word,广泛,guǎngfàn,adj.,"wide, extensive",5.14,,,,New Word,5上
[5.11] 规律 New Word,规律,guīlǜ,n./adj.,"law, regular pattern; regular",5.11,,,,New Word,5上
[5.18] 规则 New Word,规则,guīzé,adj./n.,regular; rule,5.18,,,,New Word,5上
[5.06] 锅 New Word,锅,guō,n.,"pot, pan",5.06,,,,New Word,5上
[5.06] 果然 New Word,果然,guǒrán,adv.,"as expected, really",5.06,,,,New Word,5上
[5.08] 果实 New Word,果实,guǒshí,n.,fruit,5.08,,,,New Word,5上
[5.08] 哈 New Word,哈,hā,onom./int.,sound of laughter; indicating complacency or satisfaction,5.08,,,,New Word,5上
[5.03] 海鲜 New Word,海鲜,hǎixiān,n.,seafood,5.03,,,,New Word,5上
[5.01] 喊 New Word,喊,hǎn,v.,"to shout, to call",5.01,,,,New Word,5上
[5.09] 豪华 New Word,豪华,háohuá,adj.,"luxurious, lavish",5.09,,,,New Word,5上
[5.09] 好客 New Word,好客,hàokè,v.,to be hospitable,5.09,,,,New Word,5上
[5.13] 好奇 New Word,好奇,hàoqí,adj.,curious,5.13,,,,New Word,5上
[5.12] 合作 New Word,合作,hézuò,v.,"to cooperate, to work together",5.12,,,,New Word,5上
[5.13] 何必 New Word,何必,hébì,adv.,(indicating that there is no need for sth.) why,5.13,,,,New Word,5上
[5.13] 何況 New Word,何況,hékuàng,conj.,let alone,5.13,,,,New Word,5上
[5.06] 恨 New Word,恨,hèn,v.,to hate,5.06,,,,New Word,5上
[5.08] 猴子 New Word,猴子,hóuzi,n.,monkey,5.08,,,,New Word,5上
[5.04] 后背 New Word,后背,hòubèi,n.,back (of the human body),5.04,,,,New Word,5上
[5.09] 呼朋唤友 New Word,呼朋唤友,hūpénghuànyou,,"to invite friends, to have friends gather together",5.09,,,,New Word,5上
[5.11] 呼吸 New Word,呼吸,hūxī,v.,to breathe,5.11,,,,New Word,5上
[5.07] 忽然 New Word,忽然,hūrán,adv.,suddenly,5.07,,,,New Word,5上
[5.17] 忽视 New Word,忽视,hūshì,v.,"to ignore, to overlook",5.17,,,,New Word,5上
[5.07] 胡说 New Word,胡说,húshuō,v.,to talk nonsense,5.07,,,,New Word,5上
[5.09] 胡同 New Word,胡同,hútòng,n.,"alley, lane",5.09,,,,New Word,5上
[5.05] 壶 New Word,壶,hú,n.,"pot, kettle",5.05,,,,New Word,5上
[5.15] 糊涂 New Word,糊涂,hútu,adj.,muddleheaded,5.15,,,,New Word,5上
[5.12] 华裔 New Word,华裔,Huáyì,n.,foreign citizen of Chinese origin,5.12,,,,New Word,5上
[5.04] 滑 New Word,滑,huá,adj./v.,"slippery; to slip, to slide",5.04,,,,New Word,5上
[5.18] 话题 New Word,话题,huàtí,n.,topic,5.18,,,,New Word,5上
[5.11] 慌(张) New Word,慌(张),huāng(zhāng),adj.,"flurried, flustered",5.11,,,,New Word,5上
[5.02] 灰尘 New Word,灰尘,huīchén,n.,"dust, dirt",5.02,,,,New Word,5上
[5.18] 挥 New Word,挥,huī,v.,"to wave, to wield",5.18,,,,New Word,5上
[5.17] 婚礼 New Word,婚礼,hūnlǐ,n.,wedding,5.17,,,,New Word,5上
[5.01] 婚姻 New Word,婚姻,hūnyīn,n.,marriage,5.01,,,,New Word,5上
[5.18] 活跃 New Word,活跃,huóyuè,adj./v.,"active, dynamic; to activate",5.18,,,,New Word,5上
[5.12] 伙伴 New Word,伙伴,huǒbàn,n.,partner,5.12,,,,New Word,5上
[5.10] 或许 New Word,或许,huòxǔ,adv.,"maybe, perhaps",5.10,,,,New Word,5上
[5.03] 击 New Word,击,jī,v.,"to hit, to strike",5.03,,,,New Word,5上
[5.13] 机器 New Word,机器,jīqì,n.,machine,5.13,,,,New Word,5上
[5.13] 激烈 New Word,激烈,jīliè,adj.,"intense, fierce",5.13,,,,New Word,5上
[5.18] 极其 New Word,极其,jíqí,adv.,extremely,5.18,,,,New Word,5上
[5.16] 即 New Word,即,jí,v./adv.,to be; namely,5.16,,,,New Word,5上
[5.17] 集中 New Word,集中,jízhōng,v./adj.,"to concentrate, to focus; concentrated",5.17,,,,New Word,5上
[5.11] 计算 New Word,计算,jìsuàn,v.,"to calculate, to compute",5.11,,,,New Word,5上
[5.11] 记忆 New Word,记忆,jìyì,v./n.,to remember; memory,5.11,,,,New Word,5上
[5.10] 纪念 New Word,纪念,jìniàn,v.,to commemorate,5.10,,,,New Word,5上
[5.10] 系 New Word,系,jì,v.,"to tie, to fasten",5.10,,,,New Word,5上
[5.08] 家庭 New Word,家庭,jiātíng,n.,family,5.08,,,,New Word,5上
[5.13] 甲 New Word,甲,jiǎ,n.,first,5.13,,,,New Word,5上
[5.03] 驾驶 New Word,驾驶,jiàshǐ,v.,"to drive, to pilot",5.03,,,,New Word,5上
[5.02] 坚决 New Word,坚决,jiānjué,adj.,"resolute, determined",5.02,,,,New Word,5上
[5.01] 肩膀 New Word,肩膀,jiānbǎng,n.,shoulder,5.01,,,,New Word,5上
[5.10] 艰苦 New Word,艰苦,jiānkǔ,adj.,"arduous, difficult, tough",5.10,,,,New Word,5上
[5.14] 建筑 New Word,建筑,jiànzhù,n.,"building, architecture",5.14,,,,New Word,5上
[5.09] 讲究 New Word,讲究,jiǎngjiu,v./adj.,"to be particular about, to stress; exquisite",5.09,,,,New Word,5上
[5.09] 交际 New Word,交际,jiāojì,n.,"social contact, communication",5.09,,,,New Word,5上
[5.05] 角度 New Word,角度,jiǎodù,n.,"angle, degree of angle",5.05,,,,New Word,5上
[5.04] 结实 New Word,结实,jiēshí,adj.,"strong, sturdy",5.04,,,,New Word,5上
[5.14] 接待 New Word,接待,jiēdài,v.,"to receive (sb.), to entertain",5.14,,,,New Word,5上
[5.08] 节省 New Word,节省,jiéshěng,v.,"to save, to economize",5.08,,,,New Word,5上
[5.16] 节食 New Word,节食,jiéshí,v.,to go on a diet,5.16,,,,New Word,5上
[5.08] 结构 New Word,结构,jiégòu,n.,structure,5.08,,,,New Word,5上
[5.07] 结论 New Word,结论,jiélùn,n.,conclusion,5.07,,,,New Word,5上
[5.09] 戒 New Word,戒,jiè,v.,"to give up, to quit",5.09,,,,New Word,5上
[5.16] 借口 New Word,借口,jièkǒu,n./v.,"excuse, pretext; to use as an excuse",5.16,,,,New Word,5上
[5.07] 金属 New Word,金属,jīnshǔ,n.,metal,5.07,,,,New Word,5上
[5.07] 尽(カ) New Word,尽(カ),jǐn(lì),v.,to try one's best,5.07,,,,New Word,5上
[5.09] 近代 New Word,近代,jìndài,n.,modern times (referring to the period between mid-19th century and 1919 in Chinese history),5.09,,,,New Word,5上
[5.12] 经营 New Word,经营,jīngyíng,v.,"to manage, to run",5.12,,,,New Word,5上
[5.11] 精神 New Word,精神,jīngshén,n./adj.,"spirit, vigor; lively, vigorous",5.11,,,,New Word,5上
[5.05] 救 New Word,救,jiù,v.,"to save, to rescue",5.05,,,,New Word,5上
[5.02] 舅舅 New Word,舅舅,jiùjiu,n.,"uncle, mother's brother",5.02,,,,New Word,5上
[5.01] 居然 New Word,居然,jūrán,adv.,indicating unexpectedness,5.01,,,,New Word,5上
[5.14] 具备 New Word,具备,jùbèi,v.,"to have, to possess",5.14,,,,New Word,5上
[5.04] 决心 New Word,决心,juéxīn,n./v.,determination; to make up one's mind,5.04,,,,New Word,5上
[5.15] 绝对 New Word,绝对,juéduì,adv./adj.,"absolutely, definitely; absolute",5.15,,,,New Word,5上
[5.15] 军事 New Word,军事,jūnshì,n.,military affairs,5.15,,,,New Word,5上
[5.12] 开发 New Word,开发,kāifā,v.,"to develop, to exploit",5.12,,,,New Word,5上
[5.17] 开幕式 New Word,开幕式,kāimùshì,n.,opening ceremony,5.17,,,,New Word,5上
[5.01] 靠 New Word,靠,kào,v.,to lean against,5.01,,,,New Word,5上
[5.08] 颗 New Word,颗,kē,m.,used for things small and roundish,5.08,,,,New Word,5上
[5.18] 可见 New Word,可见,kějiàn,conj.,it can be seen that...,5.18,,,,New Word,5上
[5.16] 可靠 New Word,可靠,kěkào,adj.,"reliable, dependable",5.16,,,,New Word,5上
[5.14] 空间 New Word,空间,kōngjiān,n.,space,5.14,,,,New Word,5上
[5.10] 啦 New Word,啦,la,part.,"combination of the sounds of ""了 (le)"" and "" 啊(a) "", expressing exclamation, interrogation, etc.",5.10,,,,New Word,5上
[5.10] 拦 New Word,拦,lán,v.,"to block, to hold back",5.10,,,,New Word,5上
[5.17] 烂 New Word,烂,làn,adj.,"bad, lame",5.17,,,,New Word,5上
[5.14] 劳动 New Word,劳动,láodòng,n./v.,"work, labor; to work, to do physical labor",5.14,,,,New Word,5上
[5.05] 老百姓 New Word,老百姓,lǎobǎixìng,n.,"ordinary people, civilians",5.05,,,,New Word,5上
[5.01] 老婆 New Word,老婆,lǎopó,n.,wife,5.01,,,,New Word,5上
[5.04] 老实 New Word,老实,lǎoshi,adj.,"honest, frank",5.04,,,,New Word,5上
[5.02] 姥姥 New Word,姥姥,lǎolao,n.,maternal grandma,5.02,,,,New Word,5上
[5.03] 雷 New Word,雷,léi,n.,thunder,5.03,,,,New Word,5上
[5.16] 类型 New Word,类型,lèixíng,n.,"type, category",5.16,,,,New Word,5上
[5.01] 离婚 New Word,离婚,lí hūn,v.,to divorce,5.01,,,,New Word,5上
[5.15] 理论 New Word,理论,lǐlùn,n.,theory,5.15,,,,New Word,5上
[5.16] 立即 New Word,立即,lìjí,adv.,"immediately, at once",5.16,,,,New Word,5上
[5.02] 立刻 New Word,立刻,lìkè,adv.,"at once, immediately",5.02,,,,New Word,5上
[5.13] 连忙 New Word,连忙,liánmáng,adv.,"promptly, at once",5.13,,,,New Word,5上
[5.07] 连续 New Word,连续,liánxù,v.,"to be continuous, to be in succession",5.07,,,,New Word,5上
[5.16] 联合 New Word,联合,liánhé,v./adj.,"to unite, to ally; joint, combined",5.16,,,,New Word,5上
[5.17] 良好 New Word,良好,liánghǎo,adj.,"good, fine",5.17,,,,New Word,5上
[5.08] 粮食 New Word,粮食,liángshi,n.,"grain, cereal, food",5.08,,,,New Word,5上
