Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
从此,cóngcǐ,adv.,"from then on, since then",28
从事,cóngshì,v.,to engage in,20
粗糙,cūcāo,adj.,"rough, crude",20
促进,cùjìn,v.,"to promote, to accelerate",29
促使,cùshǐ,v.,"to urge, to spur, to prompt",29
醋,cù,n.,vinegar,19
答应,dāying,v.,"to agree, to promise",27
大厦,dàshà,n.,"large building, mansion",33
大型,dàxíng,adj.,large-scale,32
担任,dānrèn,v.,"to serve as, to hold the post of",23
单纯,dānchún,adj.,"simple, mere",22
单调,dāndiào,adj.,"monotonous, dull",20
单独,dāndú,adv.,"alone, by oneself",23
单位,dānwèi,n.,"company, employer",21
耽误,dānwu,v.,"to delay, to spoil through delay",26
岛屿,dǎoyǔ,n.,island,34
倒霉,dǎoméi,adj.,"having bad luck, unlucky",29
到达,dàodá,v.,"to reach, to arrive",28
道德,dàodé,n.,"morality, ethics",22
登记,dēngjì,v.,"to register, to enter one's name",20
的确,díquè,adv.,"indeed, really",30
地理,dìlǐ,n.,geography,24
地震,dìzhèn,v.,earthquake,32
电池,diànchí,n.,"battery, cell",29
动画片,dònghuàpiàn,n.,animated cartoon,20
堆,duī,m.,"heap, pack, pile",28
对待,duìdài,v.,"to treat, to adopt a certain attitude towards",22
对手,duìshǒu,n.,"opponent, rival",29
对象,duìxiàng,n.,"target, object",29
吨,dūn,m.,metric ton,25
朵,duǒ,m.,used for flowers and clouds,36
恶劣,èliè,adj.,"bad, vile",25
发抖,fādǒu,v.,"to tremble, to shiver",25
发挥,fāhuī,v.,"to bring into play, to give rein to",27
发言,fāyán,v.,"to speak, to make a speech",24
翻,fān,v.,to turn (over),20
繁荣,fánróng,adj.,"prosperous, thriving",33
反复,fǎnfù,adv.,"repeatedly, over and over again",34
反应,fǎnyìng,v.,"to respond, to react",28
反正,fǎnzhèng,adv.,"(used to indicate the same result despite different circumstances) anyway, no matter what",36
范围,fànwéi,n.,"scope, range",28
妨碍,fáng'ài,v.,"to hinder, to impede",29
肥皂,féizào,n.,soap,34
废,fèi,adj.,"waste, useless",32
奋斗,fèndòu,v.,"to fight, to struggle, to strive",36
风景,fēngjǐng,n.,"scenery, view",25
风险,fēngxiǎn,n.,risk,25
否认,fǒurèn,v.,"to deny, to disavow",27
妇女,fùnǚ,n.,woman,25
改革,gǎigé,v.,to reform,33
改善,gǎishàn,v.,"to improve, to make sth. better",30
盖,gài,v./n.,"to cover; lid, cover",19
概括,gàikuò,adj./v.,"brief and to the point; to summarize, to sum up",34
概念,gàiniàn,n.,"concept, notion",30
干脆,gāncuì,adv.,"simply, just",29
干燥,gānzào,adj.,"dry, arid",34
赶快,gǎnkuài,adv.,"at once, hurriedly",35
感想,gǎnxiǎng,n.,"impressions, thoughts",30
钢铁,gāngtiě,n.,steel,25
搞,gǎo,v.,(followed by a complement) to produce a certain effect or result,26
个性,gèxìng,n.,"individual character, personality",26
根,gēn,n.,root,35
根本,gēnběn,adv.,"(often used in the negative) at all, simply",35
エ厂,エchǎng,n.,factory,32
工业,gōngyè,n.,industry,32
公布,gōngbù,v.,"to announce, to make public",32
公开,gōngkāi,v./adj.,to make known to the public; open,21
公寓,gōngyù,n.,"apartment, flat",29
贡献,gòngxiàn,n./v.,"contribution; to contribute, to devote",32
沟通,gōutōng,v.,to communicate,23
构成,gòuchéng,v.,"to compose, to form, to pose",30
鼓舞,gǔwǔ,v.,"to encourage, to inspire",32
鼓掌,gǔzhǎng,v.,to applaud,24
乖,guāi,adj.,"obedient, well-behaved",23
观察,guānchá,v.,"to observe, to watch",27
观点,guāndiǎn,n.,"idea, opinion",22
观念,guānniàn,n.,"mentality, concept",22
管子,Guǎnzǐ,n.,"tube, pipe",35
冠军,guànjūn,n.,"champion, first-prize winner",24
光滑,guānghuá,adj.,"smooth, glossy",34
光明,guāngmíng,adj.,"bright, promising",28
广场,guǎngchǎng,n.,"square, plaza",33
归纳,guīnà,v.,"to infer, to sum up",33
规矩,guīju,n.,"rule, established practice",23
滚,gǔn,v.,"to roll, to tumble",25
过分,guòfèn,adj.,excessive,22
行业,hángyè,n.,"trade, profession, industry",28
合理,hélǐ,adj.,reasonable,29
和平,hépíng,adj.,peaceful,30
核心,héxīn,n.,"core, kernel",30
后果,hòuguǒ,n.,"consequence, aftermath",27
蝴蝶,húdié,n.,butterfly,24
怀念,huáiniàn,v.,"to miss, to feel nostalgic",19
缓解,huǎnjiě,v.,"to alleviate, to ease up",33
幻想,huànxiǎng,n.,"fantasy, illusion",32
慌张,huāngzhāng,adj.,"flurried, flustered",25
灰,huī,n./adj.,dust; gray,22
灰心,huīxīn,adj.,discouraged,27
恢复,huīfù,v.,"to recover, to regain",35
火柴,huǒchái,n.,"match (for producing a flame, etc.)",22
肌肉,jīròu,n.,muscle,35
基本,jīběn,adv.,"basically, on the whole",23
及格,jígé,v.,to pass an exam,24
挤,jǐ,v.,"to squeeze out, to push out",29
记录,jìlù,n./v.,"record, note; to record",20
纪录,jìlù,n./v.,"record, note; to record, to note down",26
纪律,jìlǜ,n.,"discipline, rule",23
寂寞,jìmò,adj.,lonely,26
家务,jiāwù,n.,household duties,24
家乡,jiāxiāng,n.,"hometown, native place",19
假如,jiǎrú,conj.,"if, in case",20
假设,jiǎshè,v.,"to suppose, to assume",28
价值,jiàzhí,n.,value,22
艰巨,jiānjù,adj.,"arduous, formidable",24
捡,jiǎn,v.,"to pick up, to collect",36
剪刀,jiǎndāo,n.,scissors,36
简历,jiǎnlì,n.,"resume, CV",28
简直,jiǎnzhí,adv.,"simply, virtually",25
建立,jiànlì,v.,"to build, to establish",23
建设,jiànshè,v.,"to build, to construct",24
健身,jiànshēn,v.,"to keep fit, to work out",33
讲座,jiǎngzuò,n.,lecture,23
酱油,jiàngyóu,n.,soy sauce,19
交换,jiāohuàn,v.,"to exchange, to interchange",22
交往,jiāowǎng,v.,"to associate, to contact",24
浇,jiāo,v.,"to water, to pour (liquid on sth.)",36
狡猾,jiǎohuá,adj.,"crafty, cunning",31
教练,jiàoliàn,n.,"coach, instructor",27
教训,jiàoxun,n.,"lesson, moral",27
阶段,jiēduàn,n.,"stage, phase",23
