Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
平静,píngjìng,adj.,"quiet, peaceful",3
平均,píngjūn,adj.,average,9
评价,píngjià,v./n.,"to evaluate; evaluation, comment",17
其余,qíyú,pron.,"the rest, the others",18
奇迹,qíjì,n.,"miracle, wonder",10
企业,qǐyè,n.,"enterprise, company",12
启发,qǐfā,v.,"to enlighten, to inspire",13
气氛,qìfēn,n.,atmosphere,13
签,qiān,v.,"to sign, to autograph",18
浅,qiǎn,adj.,"shallow, light",11
强烈,qiángliè,adj.,strong and vehement,2
墙,qiáng,n.,wall,7
抢,qiǎng,v.,"to rob, to snatch",5
悄悄,qiāoqiāo,adv.,"quietly, secretly",2
瞧,qiáo,v.,"to look, to see",13
亲切,qīnqiè,adj.,"warm, cordial, affectionate",14
亲自,qīnzì,adv.,"personally, in person",9
勤奋,qínfèn,adj.,diligent,4
轻视,qīngshì,v.,"to look down upon, to belittle",15
情景,qíngjǐng,n.,"scene, sight",8
情绪,qíngxù,n.,"emotion, mood",11
请求,qǐngqiú,v./n.,"to request, to ask; request",10
球迷,qiúmí,n.,ball game fan,13
趋势,qūshì,n.,"trend, tendency",16
去世,qùshì,v.,"to die, to pass away",4
缺乏,quēfá,v.,"to lack, to be short of",13
确定,quèdìng,v.,"to confirm, to make sure",7
确认,quèrèn,v.,"to confirm, to affirm",18
群,qún,m.,"group, herd, flock",8
人才,réncái,n.,talented person,4
人类,rénlèi,n.,humankind,11
人民,rénmín,n.,people,14
人生,rénshēng,n.,life,3
人员,rényuán,n.,"personnel, staff",16
日常,rìcháng,adj.,"day-to-day, daily",14
日子,rìzi,n.,"life, livelihood",14
如何,rúhé,pron.,how,1
如今,rújīn,n.,"nowadays, present",5
弱,ruò,adj.,weak,15
洒,sǎ,v.,"to sprinkle, to spray",18
杀,shā,v.,to kill,6
晒,shài,v.,to dry in the sun,2
闪电,shǎndiàn,n.,lightning,3
扇子,shànzi,n.,fan,7
善良,shànliáng,adj.,kind-hearted,5
善于,shànyú,v.,to be good at,7
伤害,shānghài,v.,"to hurt, to harm",6
上当,shàngdàng,v.,"to be taken in, to be deceived",15
设计,shèjì,v./n.,to design; design,18
射(击),shè(jī),v.,to shoot,6
摄影师,shèyǐngshī,n.,photographer,10
伸,shēn,v.,"to stretch, to extend",1
身份,shēnfèn,n.,identity,18
深刻,shēnkè,adj.,"deep, profound",17
神秘,shénmì,adj.,"mystical, mysterious",18
升,shēng,v.,"to rise, to go up",16
绳子,shéngzi,n.,rope,7
胜利,shènglì,v.,to win a victory,15
失眠,shīmián,v.,to suffer from insomnia,11
诗,shī,n.,poem,5
石头,shítou,n.,"stone, rock",7
时代,shídài,n.,"era, age, epoch",3
